Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country/Region,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,IN-2019-27828,2019-08-27,2019-08-31,Standard Class,VT-21700,Valerie Takahito,Home Office,Quanzhou,Fujian,China,North Asia,OFF-PA-10000026,Office Supplies,Paper,"Eaton Cards & Envelopes, 8.5 x 11",197.28,4,0,35.4
2,IN-2019-27828,2019-08-27,2019-08-31,Standard Class,VT-21700,Valerie Takahito,Home Office,Quanzhou,Fujian,China,North Asia,FUR-FU-10000944,Furniture,Furnishings,"Tenex Door Stop, Black",307.23,7,0,21.42
3,IN-2019-27828,2019-08-27,2019-08-31,Standard Class,VT-21700,Valerie Takahito,Home Office,Quanzhou,Fujian,China,North Asia,TEC-CO-10002526,Technology,Copiers,"Sharp Wireless Fax, Digital",1422.24,4,0,526.2
4,IN-2019-27828,2019-08-27,2019-08-31,Standard Class,VT-21700,Valerie Takahito,Home Office,Quanzhou,Fujian,China,North Asia,TEC-AC-10002255,Technology,Accessories,"Memorex Keyboard, Erganomic",207.45,3,0,78.75
5,IN-2020-63178,2020-06-24,2020-06-30,Standard Class,SO-20335,Sean O'Donnell,Consumer,Marikina,Metro Manila,Philippines,Southeast Asia,OFF-AP-10002882,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver",121.074,2,0.15,37.014
6,IN-2017-29067,2017-05-31,2017-06-04,Second Class,ST-20530,Shui Tom,Consumer,New Delhi,Delhi,India,Central Asia,OFF-BI-10000168,Office Supplies,Binders,"Cardinal Hole Reinforcements, Recycled",11.4,2,0,2.82
7,IN-2018-15361,2018-08-16,2018-08-22,Standard Class,CS-12130,Chad Sievert,Consumer,Tokyo,Tokyo,Japan,North Asia,TEC-PH-10001354,Technology,Phones,"Motorola Speaker Phone, Full Size",262.14,2,0,73.38
8,IN-2017-79397,2017-01-03,2017-01-03,Same Day,KN-16450,Kean Nguyen,Corporate,Sydney,New South Wales,Australia,Oceania,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",35.883,3,0.1,4.743
9,IN-2017-79397,2017-01-03,2017-01-03,Same Day,KN-16450,Kean Nguyen,Corporate,Sydney,New South Wales,Australia,Oceania,OFF-AP-10000304,Office Supplies,Appliances,"Hoover Microwave, White",276.102,1,0.1,110.412
10,ID-2018-63535,2018-05-10,2018-05-16,Standard Class,ML-17410,Maris LaWare,Consumer,Hobart,Tasmania,Australia,Oceania,TEC-PH-10003062,Technology,Phones,"Apple Audio Dock, Full Size",504.54,5,0.4,-42.06
